name,fields,field type,required,enum value
ActivityLog,userId,ObjectId,false,
ActivityLog,userName,String,true,
ActivityLog,userRole,String,true,
ActivityLog,userEmail,String,false,
ActivityLog,action,String,true,"CREATE, READ, LIST, UPDATE, DELETE, LOGIN, LOGOUT, EXPORT, IMPORT, SEND_EMAIL, SEND_SMS, OTP_SENT, OTP_VERIFIED, PAYMENT_CREATED, PAYMENT_PROCESSED, CONTRACT_SIGNED, INVOICE_GENERATED, BOOKING_CREATED, BOOKING_CANCELLED, CHECK_IN, CHECK_OUT, BULK_OPERATION, CONTRACT_SENT_FOR_SIGNATURE, ERROR, CUSTOM"
ActivityLog,entity,String,true,
ActivityLog,entityId,ObjectId,false,
ActivityLog,description,String,true,
ActivityLog,ipAddress,String,false,
ActivityLog,userAgent,String,false,
ActivityLog,requestMethod,String,false,"GET, POST, PUT, PATCH, DELETE"
ActivityLog,endpoint,String,false,
ActivityLog,changes.before,Mixed,false,
ActivityLog,changes.after,Mixed,false,
ActivityLog,changes.fields,Array,false,
ActivityLog,changes.fields.field,String,true,
ActivityLog,changes.fields.oldValue,Mixed,false,
ActivityLog,changes.fields.newValue,Mixed,false,
ActivityLog,changes.summary,String,false,
ActivityLog,metadata,Mixed,false,
ActivityLog,status,String,false,"SUCCESS, FAILED, PARTIAL"
ActivityLog,errorMessage,String,false,
ActivityLog,sessionId,String,false,
ActivityLog,relatedEntities,Array,false,
ActivityLog,relatedEntities.entityType,String,false,
ActivityLog,relatedEntities.entityId,ObjectId,false,
ActivityLog,relatedEntities.description,String,false,
ActivityLog,executionTime,Number,false,
ActivityLog,isSystemGenerated,Boolean,false,
ActivityLog,retentionDate,Date,false,
ActivityLog,createdAt,Date,true (auto),
ActivityLog,updatedAt,Date,true (auto),
