name,fields,field type,required,enum value,sample value
ActivityLog,userId,ObjectId,false,,68b964b75256c8e39d0ed80a
ActivityLog,userName,String,true,,Nasir
ActivityLog,userRole,String,true,,admin
ActivityLog,userEmail,String,false,,nasir@flyde.in
ActivityLog,action,String,true,"CREATE, READ, LIST, UPDATE, DELETE, LOGIN, LOGOUT, EXPORT, IMPORT, SEND_EMAIL, SEND_SMS, OTP_SENT, OTP_VERIFIED, PAYMENT_CREATED, PAYMENT_PROCESSED, CONTRACT_SIGNED, INVOICE_GENERATED, BOOKING_CREATED, BOOKING_CANCELLED, CHECK_IN, CHECK_OUT, BULK_OPERATION, CONTRACT_SENT_FOR_SIGNATURE, ERROR, CUSTOM",UPDATE
ActivityLog,entity,String,true,,User
ActivityLog,entityId,ObjectId,false,,68d2400d4696bc5ed8c52f20
ActivityLog,description,String,true,,Nasir updated user (ID: 68d2400d4696bc5ed8c52f20)
ActivityLog,ipAddress,String,false,,::1
ActivityLog,userAgent,String,false,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
ActivityLog,requestMethod,String,false,"GET, POST, PUT, PATCH, DELETE",PUT
ActivityLog,endpoint,String,false,,/68d2400d4696bc5ed8c52f20
ActivityLog,changes.before,Mixed,false,,"{""_id"": ""68d2400d4696bc5ed8c52f20"", ""role"": ""68bfd0936ecb1276d721bf74"", ""name"": ""test staff""}"
ActivityLog,changes.after,Mixed,false,,"{""_id"": ""68d2400d4696bc5ed8c52f20"", ""role"": {""_id"": ""68bfd0936ecb1276d721bf74"", ""roleName"": ""community""}}"
ActivityLog,changes.fields,Array,false,,"[""name"", ""email"", ""phone"", ""role"", ""buildingId"", ""password""]"
ActivityLog,changes.fields.field,String,true,,name
ActivityLog,changes.fields.oldValue,Mixed,false,,
ActivityLog,changes.fields.newValue,Mixed,false,,
ActivityLog,changes.summary,String,false,,
ActivityLog,metadata,Mixed,false,,"{""userName"": ""test staff"", ""updatedFields"": [""name"", ""email"", ""phone"", ""role"", ""buildingId"", ""password""]}"
ActivityLog,status,String,false,"SUCCESS, FAILED, PARTIAL",SUCCESS
ActivityLog,errorMessage,String,false,,
ActivityLog,sessionId,String,false,,
ActivityLog,relatedEntities,Array,false,,[]
ActivityLog,relatedEntities.entityType,String,false,,
ActivityLog,relatedEntities.entityId,ObjectId,false,,
ActivityLog,relatedEntities.description,String,false,,
ActivityLog,executionTime,Number,false,,
ActivityLog,isSystemGenerated,Boolean,false,,false
ActivityLog,retentionDate,Date,false,,
ActivityLog,createdAt,Date,true (auto),,2025-09-25T07:09:12.372Z
ActivityLog,updatedAt,Date,true (auto),,2025-09-25T07:09:12.372Z
ApiCallLog,requestId,String,true,,4ddfb31b6bdfb5d23878a8f89bedcf1c
ApiCallLog,service,String,true,"zoho_books, zoho_sign, razorpay, sms_waale, other",zoho_sign
ApiCallLog,operation,String,true,,create_document
ApiCallLog,direction,String,true,"outgoing, incoming",outgoing
ApiCallLog,method,String,true,"GET, POST, PUT, DELETE, PATCH",POST
ApiCallLog,url,String,true,,https://sign.zoho.in/api/v1/requests
ApiCallLog,headers,Mixed,false,,"{""content-type"": ""multipart/form-data; boundary=--------------------------925e09160a47caa9abca2c42"", ""Authorization"": ""Zoho-oau***""}"
ApiCallLog,requestBody,Mixed,false,,"{""_overheadLength"": 312, ""_valueLength"": 5142, ""writable"": false}"
ApiCallLog,statusCode,Number,false,,
ApiCallLog,responseHeaders,Mixed,false,,
ApiCallLog,responseBody,Mixed,false,,
ApiCallLog,startTime,Date,true,,
ApiCallLog,endTime,Date,false,,
ApiCallLog,duration,Number,false,,
ApiCallLog,success,Boolean,true,,
ApiCallLog,errorMessage,String,false,,
ApiCallLog,errorCode,String,false,,
ApiCallLog,userId,ObjectId,false,,
ApiCallLog,clientId,ObjectId,false,,
ApiCallLog,relatedEntity,String,false,"invoice, contract, payment, client, daypass, bundle, other",
ApiCallLog,relatedEntityId,ObjectId,false,,
ApiCallLog,attemptNumber,Number,false,,
ApiCallLog,maxAttempts,Number,false,,
ApiCallLog,retryReason,String,false,,
ApiCallLog,parentRequestId,String,false,,
ApiCallLog,webhookSignature,String,false,,
ApiCallLog,webhookVerified,Boolean,false,,
ApiCallLog,webhookEvent,String,false,,
ApiCallLog,userAgent,String,false,,
ApiCallLog,ipAddress,String,false,,
ApiCallLog,environment,String,false,"development, staging, production",
ApiCallLog,dataMasked,Boolean,false,,
ApiCallLog,rawRequest,String,false,,
ApiCallLog,rawResponse,String,false,,
ApiCallLog,createdAt,Date,true (auto),,
ApiCallLog,updatedAt,Date,true (auto),,
BuildingAmenity,name,String,true,,Meeting Rooms
